round,player_id,name,positions,price,score,break_even
4,507062,Briton Nikora,3,579000,,28
4,500168,Bronson Garlick,1,312000,,47
4,504714,Bronson Xerri,5,428000,,30
4,501744,Bunty Afoa,2,280000,,
4,500180,Cameron McInnes,2,647000,,
4,501459,Cameron Munster,4,680000,36,37
4,504176,Cameron Murray,2,709000,,60
4,504294,Campbell Graham,5/6,463000,,23
4,100011678,Casey McLean,5,447000,71,45
4,506851,Chanel Harris-Tavita,4,470000,,63
4,100006434,Charlie Guymer,3,377000,,59
4,501559,Charnze Nicoll-Klokstad,6,486000,40,37
4,100007297,Chevy Stewart,6,250000,,
4,100001349,Chris Randall,1/2,480000,41,35
4,100003194,Christian Tuipulotu,6,468000,18,44
4,100000346,Clayton Faulalo,6,374000,,
4,500729,Clinton Gutherson,6,449000,7,50
4,100011256,Cody Hopwood,2,250000,15,
4,509404,Cody Ramsey,6,250000,,
4,500611,Cody Walker,4,383000,,23
4,500405,Coen Hess,2,442000,20,42
4,507949,Connelly Lemuelu,3,554000,58,-4
4,502015,Connor Tracey,6,531000,32,16
4,503327,Connor Watson,1/2,519000,69,68
4,100014512,Cooper Bai,2,268000,27,13
4,100013815,Cooper Clarke,2,284000,19,3
4,506018,Corey Horsburgh,2,665000,34,54
4,500406,Corey Jensen,2,409000,54,22
4,503341,Corey Waddell,2/3,405000,25,46
4,506492,Cory Paix,1,374000,43,34
4,507645,Daine Laurie,6,453000,,
4,500532,Dallin Watene-Zelezniak,6,328000,15,15
4,500024,Daly Cherry-Evans,4,613000,64,61
4,501600,Damien Cook,1,707000,60,39
4,500043,Dane Gagai,5,504000,51,57
4,100004700,Daniel Atkinson,4,519000,25,18
4,500002,Daniel Tupou,6,434000,45,55
4,100015592,David Fale,5,250000,,
4,506482,David Fifita,3,516000,,28
4,509444,Davvy Moale,2,346000,,39
4,100007650,Deine Mariner,6,375000,34,39
4,100013336,Demitric Vaimauga,3,375000,,46
4,100008071,Dominic Young,6,504000,75,23
4,505626,Dylan Brown,4,492000,,33
4,503340,Dylan Edwards,6,649000,22,33
4,100006243,Dylan Egan,3,616000,,
4,505582,Dylan Lucas,3,725000,62,52
4,500083,Dylan Walker,2,444000,41,35
4,100015584,Eddie Ieremia-Toeava,3,350000,,
4,509842,Edward Kosi,6,300000,,
4,504678,Egan Butcher,3,436000,2,34
4,100014185,Elijah Salesa-Leaumoana,3,250000,,
4,504426,Emre Guler,2,455000,39,23
4,504372,Enari Tuala,6/5,464000,52,28
4,503685,Erin Clark,2,689000,34,62
4,506153,Ethan Bullemor,2,481000,,47
4,100003925,Ethan Sanders,4,452000,43,-5
4,100006524,Ethan Strange,4,497000,34,36
4,500441,Euan Aitken,3/5,600000,,55
4,100004534,Ezra Mam,4,439000,36,46
4,100006826,Faaletino Tavana,6,230000,21,
4,500598,Felise Kaufusi,2,340000,27,31
4,504006,Fetalaiga Pauga,5/6,374000,,24
4,100008414,Fletcher Hunt,6,347000,42,-7
4,100006482,Fletcher Sharpe,4,701000,35,67
4,100004194,Fonua Pole,2,382000,30,30
4,100013721,Francis Manuleleua,3,230000,,24
4,500264,Francis Molo,2,424000,28,
4,504830,Freddy Lussick,1,239000,26,27
4,504371,Gehamat Shibasaki,5,481000,30,83
4,507987,Grant Anderson,6,402000,14,44
4,504325,Greg Marzhew,6,507000,27,47
4,100004869,Griffin Neame,2,402000,19,53
4,501290,Hame Sele,2,342000,23,16
